"Cod.Municipio","lon","lat"
5001,-75.5812119,6.244203
5002,-75.428603,5.788693
5021,-75.141637,6.37488
5030,-75.702277,6.037113
5031,-75.073161,6.906448
5034,-75.879654,5.656421
5036,-75.711639,6.112769
5038,-75.335829,6.885648
5040,-75.147287,7.073562
5042,-75.827129,6.557179
5044,-75.853255,6.301106
5045,-76.624692,7.882761
5051,-76.427089,8.850104
5079,-75.334099,6.438791
5086,-75.666528,6.606241
5088,-75.5595887,6.3367288
5093,-75.98467,6.11278
5101,-76.0218469,5.852476
5107,-75.550674,7.112884
5120,-75.349545,7.579029
5129,-75.633347,6.094317
5138,-76.02611,6.750597
5142,-74.7576179,6.408749
5145,-75.643707,5.548956
5147,-76.6554309,7.755354
5148,-75.337384,6.082178
5150,-75.282299,6.724917
5154,-75.1985629,7.979698
5172,-76.67749,7.665099
5190,-75.087067,6.538376
5197,-75.185598,6.057265
5206,-75.256581,6.394353
5209,-75.908354,6.044979
5212,-75.505078,6.357621
5234,-76.256824,6.997374
5237,-75.393831,6.485702
5240,-75.767345,6.326906
5250,-74.8062648,7.6056826
5264,-75.516908,6.566146
5266,-75.5873636,6.1696109
5282,-75.671007,5.927245
5284,-76.132917,6.777958
5306,-75.953096,6.680623
5308,-75.449517,6.378322
5310,-75.221769,6.683248
5318,-75.442627,6.279597
5321,-75.153467,6.231137
5347,-75.732944,6.208781
5353,-75.907993,5.799059
5360,-75.6146712,6.1675682
5361,-75.76468,7.172607
5364,-75.819361,5.596767
5368,-75.776082,5.790513
5376,-75.431596,6.027632
5380,-75.635586,6.138751
5390,-75.606403,5.746942
5400,-75.3609759,5.973839
5411,-75.811744,6.67745
5425,-74.787294,6.551367
5440,-75.341462,6.176967
5467,-75.52395,5.946487
5480,-76.436567,7.244106
5490,-76.787678,8.427174
5495,-74.776327,8.088419
5541,-75.2435307,6.2199662
5576,-75.840589,5.794161
5579,-74.4088,6.477755
5585,-74.583726,6.186497
5591,-74.634036,5.8807
5604,-74.692965,7.027766
5607,-75.502582,6.060955
5615,-75.375085,6.144837
5631,-75.61682,6.150559
5642,-75.963942,5.963336
5649,-74.993227,6.187979
5652,-75.102138,5.963428
5656,-75.728159,6.442513
5659,-76.526738,8.7624549
5660,-74.995071,6.042454
5664,-75.54712,6.46363
5665,-76.379729,8.275843
5667,-75.028577,6.293544
5670,-75.019623,6.485831
5674,-75.33422,6.285815
5679,-75.566421,5.874249
5686,-75.460901,6.648271
5690,-75.164646,6.471563
5697,-75.264509,6.139611
5736,-74.699095,7.079604
5756,-75.309798,5.712002
5761,-75.743398,6.501534
5789,-75.714701,5.664999
5790,-75.399966,7.583191
5792,-75.822403,5.864925
5809,-75.79341,6.06259
5837,-76.7284559,8.0951588
5842,-76.171665,6.896805
5847,-76.13181,6.313861
5854,-75.39215,7.29117
5858,-74.796476,6.772879
5861,-75.735417,5.963962
5887,-75.4190689,6.961969
5890,-75.01478,6.59995
5893,-73.9100623,7.0081406
5895,-74.8672519,7.48688
8078,-74.915036,10.796589
8137,-74.881979,10.379923
8141,-74.8809689,10.459676
8296,-74.883823,10.898923
8372,-75.035858,10.829092
8421,-75.142287,10.60959
8433,-74.7746834,10.8575824
8436,-74.959371,10.449239
8520,-74.755272,10.74044
8549,-75.107922,10.748716
8558,-74.853162,10.777471
8560,-74.753281,10.641772
8573,-74.950761,11.001004
8606,-75.123706,10.494762
8634,-74.755201,10.789771
8638,-74.920163,10.632409
8675,-74.961495,10.323959
8758,-74.799071,10.9170486
8832,-74.977354,10.872762
8849,-74.976528,10.741163
11001,-74.072092,4.7109886
13006,-74.5559339,8.567685
13042,-73.94093,8.45917
13052,-75.347308,10.252471
13062,-75.019121,10.256929
13074,-74.11248,8.94862
13140,-74.914706,10.249349
13160,-73.919121,7.38153
13188,-74.64532,9.27682
13212,-74.827141,9.586792
13222,-75.3257409,10.568962
13244,-75.115733,9.721064
13248,-74.97611,10.031243
13430,-74.7527587,9.2414156
13433,-75.191297,10.235048
13440,-74.2932,9.14586
13442,-75.303139,9.983775
13468,-74.424496,9.240146
13473,-73.868176,8.27533
13549,-74.47033,8.9245
13600,-73.840258,8.588397
13647,-75.15224,10.39902
13650,-74.3271649,9.21758
13654,-75.120521,9.834832
13657,-75.083828,9.95114
13667,-74.03787,8.940875
13670,-73.924108,7.477887
13673,-75.28553,10.60513
13683,-75.368501,10.445791
13688,-74.0520439,7.9629547
13744,-73.946404,7.957151
13780,-74.567972,9.303469
13810,-74.26361,8.55768
13836,-75.412672,10.334638
13838,-75.441594,10.274743
13873,-75.275171,10.444021
13894,-74.8162,9.744554
15001,-73.3575572,5.5446422
15047,-72.884198,5.5197139
15087,-72.910689,5.9894
15092,-72.808987,5.910362
15135,-73.103869,5.031048
15162,-72.9489509,5.95661
15176,-73.819571,5.614775
15180,-72.5003179,6.552741
15204,-73.323263,5.634202
15215,-72.844945,5.828674
15218,-72.739244,6.500365
15223,-72.108186,7.00178
15236,-73.366926,4.888109
15238,-73.0329273,5.8268951
15248,-72.43286,6.4864
15276,-72.919056,5.859347
15293,-73.54938,5.752134
15322,-73.471423,5.006385
15332,-72.412077,6.463042
15362,-72.979939,5.614709
15367,-73.364139,5.385032
15368,-72.570654,6.14603
15380,-73.444632,5.095405
15407,-73.527058,5.636499
15442,-74.0046909,5.549623
15455,-73.143061,5.196395
15466,-72.849089,5.723206
15469,-73.57359,5.875987
15476,-73.368186,5.577547
15480,-74.103016,5.531629
15491,-72.9369789,5.767186
15507,-74.181142,5.658514
15514,-73.052166,5.1000249
15516,-73.114725,5.77977
15518,-72.7028179,5.2931929
15522,-72.458962,6.4431139
15531,-73.978073,5.656439
15537,-72.747076,5.9876189
15542,-73.050631,5.558883
15572,-74.593395,5.977237
15580,-74.181132,5.522646
15600,-73.632154,5.5382999
15632,-73.764931,5.697783
15646,-73.486159,5.492342
15667,-73.16949,4.81979
15673,-72.5546339,6.402013
15681,-74.06978,5.65182
15686,-73.48223,6.05724
15690,-73.262355,4.857988
15720,-72.708125,6.131271
15740,-73.244834,5.511608
15753,-72.6815699,6.336161
15755,-72.636498,6.041521
15757,-72.692665,5.99713
15759,-72.9311289,5.7160848
15761,-73.43302,4.985763
15762,-73.450095,5.566838
15763,-73.246566,5.76532
15764,-73.332701,5.500849
15774,-72.689835,6.230563
15776,-73.620936,5.620003
15798,-73.421476,5.077311
15804,-73.397943,5.316775
15806,-73.00003,5.73332
15810,-72.691054,6.420759
15814,-73.185051,5.566401
15820,-72.831906,5.768717
15842,-73.45687,5.22138
15861,-73.522672,5.372167
15879,-73.296449,5.437028
15897,-73.171179,5.284206
17001,-75.5138166,5.070275
17013,-75.453135,5.608334
17042,-75.781831,5.242598
17050,-75.490582,5.271896
17088,-75.8048759,4.994942
17174,-75.60526,4.98273
17272,-75.5623449,5.2977
17380,-74.667984,5.472709
17388,-75.5470349,5.398218
17433,-75.1538939,5.255906
17442,-75.601051,5.474716
17444,-75.051548,5.300064
17486,-75.520356,5.166841
17513,-75.459881,5.527995
17524,-75.62281,5.02022
17541,-75.161426,5.38211
17614,-75.705388,5.4206839
17616,-75.768462,5.163676
17653,-75.486468,5.402354
17662,-74.9914639,5.413047
17777,-75.650401,5.45589
17867,-74.910711,5.317755
17873,-75.514771,5.042569
17877,-75.872356,5.0605779
18001,-75.6042364,1.6153858
18029,-75.878407,1.328981
18094,-75.87266,1.41608
18150,-74.8434026,1.3338448
18205,-75.920771,1.033817
18247,-75.2833349,1.680042
18256,-75.3266979,1.571227
18410,-75.43724,1.47888
18479,-75.723179,1.485694
18592,-75.157235,1.909918
18610,-75.9739003,1.3313483
18753,-74.7732056,2.1136446
18756,-75.253555,0.699152
18860,-75.705324,1.1951639
19001,-76.6147395,2.4448143
19022,-76.854839,1.914182
19050,-77.249334,2.25575
19075,-77.216606,2.040728
19100,-76.96953,1.97084
19110,-76.643755,3.01334
19130,-76.571608,2.621916
19137,-76.48577,2.796679
19142,-76.408081,3.033544
19212,-76.258802,3.174159
19256,-76.811322,2.452695
19290,-77.072933,1.683061
19318,-77.885469,2.571287
19392,-76.76214,2.17845
19397,-76.77854,2.00048
19418,-77.1024902,2.941576
19450,-77.163397,1.795801
19455,-76.229027,3.251528
19473,-76.628114,2.753912
19513,-76.3133579,3.223586
19532,-77.053095,2.069301
19548,-76.98918,2.6430699
19573,-76.415465,3.22059
19585,-76.497159,2.341733
19622,-76.7406139,2.261858
19693,-76.770954,1.838574
19698,-76.484533,3.01228
19701,-76.573617,1.703026
19743,-76.37754,2.611615
19760,-76.5950555,2.2781525
19780,-76.6954089,2.9543832
19807,-76.683352,2.352686
19809,-77.667606,2.777744
19821,-76.2704,2.9562909
19824,-76.40173,2.509941
19845,-76.84774,2.51364
