"NAME_2","ID_2","Cod.Municipio"
"El Encanto",1,91263
"La Chorrera",2,91405
"La Pedrera",3,91407
"Leticia",4,91001
"Mirití-Paraná",5,NA
"Puerto Nariño",6,91540
"Puerto Santander",7,54553
"Tarapacá",8,91798
"Abejorral",9,5002
"Abriaquí",10,5004
"Alejandría",11,5021
"Amagá",12,5030
"Amalfi",13,5031
"Andes",14,5034
"Angelópolis",15,5036
"Angostura",16,5038
"Anorí",17,5040
"Anzá",18,5044
"Apartadó",19,5045
"Arboletes",20,5051
"Argelia",21,5055
"Armenia",22,5059
"Barbosa",23,5079
"Bello",24,5088
"Belmira",25,5086
"Betania",26,5091
"Betulia",27,5093
"Bolívar",28,19100
"Briceño",29,5107
"Buriticá",30,5113
"Cáceres",31,5120
"Cañasgordas",32,5138
"Caicedo",33,5125
"Caldas",34,5129
"Campamento",35,5134
"Caracolí",36,5142
"Caramanta",37,5145
"Carepa",38,5147
"Carolina del Principe",39,NA
"Caucasia",40,5154
"Chigorodó",41,5172
"Cisneros",42,5190
"Cocorná",43,5197
"Concepción",44,5206
"Concordia",45,5209
"Copacabana",46,5212
"Dabeiba",47,5234
"Don Matías",48,NA
"Ebéjico",49,5240
"El Bagre",50,5250
"El Carmen de Viboral",51,5148
"El Santuario",52,5697
"Entrerríos",53,5264
"Envigado",54,5266
"Fredonia",55,5282
"Frontino",56,5284
"Gómez Plata",57,5310
"Giraldo",58,5306
"Girardota",59,5308
"Granada",60,5313
"Guadalupe",61,5315
"Guarne",62,5318
"Guatapé",63,5321
"Heliconia",64,5347
"Hispania",65,5353
"Itagüí",66,5360
"Ituango",67,5361
"Jardín",68,5364
"Jericó",69,5368
"La Ceja",70,5376
"La Estrella",71,5380
"La Unión de Sucre",72,NA
"Liborina",73,5411
"Maceo",74,5425
"Marinilla",75,5440
"Medellín",76,5001
"Montebello",77,5467
"Murindó",78,5475
"Mutatá",79,5480
"Nariño",80,5483
"Nechí",81,5495
"Necoclí",82,5490
"Olaya",83,5501
"Peñol",84,5541
"Pequé",85,NA
"Pueblorrico",86,5576
"Puerto Berrío",87,5579
"Puerto Nare",88,5585
"Puerto Triunfo",89,5591
"Remedios",90,5604
"Retiro",91,5607
"Rionegro",92,5615
"Sabanalarga",93,5628
"Sabaneta",94,5631
"Salgar",95,5642
"San Andrés de Cuerquia",96,NA
"San Carlos",97,5649
"San Francisco",98,5652
"San Jerónimo",99,5656
"San José de la Montaña",100,5658
"San Juan de Urabá",101,5659
"San Luis",102,5660
"San Pedro de los Milagros",103,5664
"San Pedro de Urabá",104,5665
"San Rafael",105,5667
"San Roque",106,5670
"San Vicente",107,NA
"Santa Bárbara",108,5679
"Santa Fe de Antioquia",109,NA
"Santa Rosa de Osos",110,5686
"Santo Domingo",111,5690
"Segovia",112,5736
"Sonsón",113,5756
"Sopetrán",114,5761
"Támesis",115,5789
"Tarazá",116,5790
"Tarso",117,5792
"Titiribí",118,5809
"Toledo",119,5819
"Turbo",120,5837
"Uramita",121,5842
"Urrao",122,5847
"Valdivia",123,5854
"Valparaíso",124,5856
"Vegachí",125,5858
"Venecia",126,5861
"Vigía del Fuerte",127,5873
"Yalí",128,5885
"Yarumal",129,5887
"Yolombó",130,5890
"Yondó",131,5893
"Zaragoza",132,5895
"Arauca",133,81001
"Arauquita",134,81065
"Cravo Norte",135,81220
"Fortul",136,81300
"Puerto Rondón",137,81591
"Saravena",138,81736
"Tame",139,81794
