“Municipality”, “opinion”
25001,1
25019,0
25035,0
25040,0
25053,0
25095,0
25099,0
25126,1
25148,0
25151,0
25175,0
25178,0
25181,0
25183,0
25214,0
25245,0
25260,0
25269,0
25279,0
25286,1
25290,0
25293,0
25299,0
25307,1
25312,0
25317,0
25320,0
25322,0
25326,0
25328,0
25335,0
25372,0
25377,1
25386,0
25394,1
25402,0
25426,0
25430,0
25436,0
25473,0
25486,1
25488,0
25491,0
25513,0
25524,0
25530,0
25535,1
25572,0
25580,0
25594,0
25599,0
25645,0
25658,0
25718,0
25736,1
25740,0
25743,0
25745,0
25754,1
25758,1
25769,0
25772,1
25781,0
25785,0
25793,0
25797,0
25799,0
25805,0
25815,0
25817,1
25839,0
25841,0
25843,0
25845,0
25873,0
25875,0
25878,0
25885,0
25898,0
25899,1
